Chinese,English
进站,Enter the station
召妓,Call
拉奇,Rat
方才,Square talent
限量,Limited
传个,Pass
西纳,Sina
拟定,Formulate
包装纸,Wrapping paper
化妝,make up
十万火急,"100,000 fire"
瓦莱,Vale
齐步走,Stepped away
声乐,Vocal music
尼格,Nitch
溜冰鞋,Skate
契合,Fit
承办,Undertake
做大,Make bigger
副总,Deputy total
腦子裡,Brain
ﺂ,Bamboo
人长,People long
性奋,Hurt
格特鲁德,Gtrude
良药,Medicine
露一手,Open hand
人出,People out
伊莎贝,Isabe
塞尔吉奥,Sergio
佩佩,Pepe
聚首,Gather
菲特,Philip
小样,mock up
凯罗,Kerron
遮挡,Cover
整部,Whole
對決,Confirm
欺压,Bully
萊莉,Leili
匹敌,Energetic
积聚,build up
中美洲,Central America
水在,Water in water
祑,Bamboo
高歌,High song
一响,Sound
告上,Note
無事,nothing
期末考,Final test
矿物质,Mineral
精于,Refined
承包,contract
抗命,Destination
表达方式,way of expression
傳來,Come
地待,Stay
奇袭,Gratitude
照管,Take a tube
壁纸,wallpaper
多洛丝,Dolos
教务长,President
确,Indeed
电汇,wire transfer
晚才,Late talent
皮特森,Peterson
先送,Send
騎兵,cavalry
惯坏,Hate
这双鞋,This pair of shoes
櫻井,Sakura
有名气,Famous gas
幸虧,Fortunately
林家,Lin
這副,This
汤里,Soup
满天飞,All-day
这股,This
请不起,Can't afford
茜茜,茜
春香,Spring
货轮,freighter
鲁道,Lu Dao
换钱,Change money
逾越节,Passover
執照,license
叻,Rat
頸,neck
久美,Long-awaited
礟,Bamboo
惯犯,recidivist
恩达,Na
卡劳利,Carli
热咖啡,hot coffee
这事会,This will
阿特金,Antin
怜,pity
阿尔特,Alter
舰船,Ship
完全一致,Exactly
林地,woodland
相框,Photo frame
侣,companion
专务,Business
牙套,Tooth
卢旺达,Rwanda
腾,Tear
他选,He chose
焦耳,joule
奔流,Rush
优胜,winning
大条,Large strip
随心,Feel
但別,Don't
旁遮普,Punjab
阿勒,Ale
亂來,Recklessly
茶点,refreshments
火影,Rig
击剑,fencing
公车站,bus station
文职,civilian
玛丽和,Mary and
顽童,urchin
語氣,Tone
基奥,Kio
塔蒂,Tati
富婆,Rich woman
文具,Stationery
仆街,Servant
拼搏,Struggle
买入,Buy
多万,"More than 10,000"
检阅,review
临终前,Before the end
永不分离,never separate
考卷,Examine
会接,Will
波哥大,Bogota
若干,Certain
老好人,Old man
鷹,eagle
適當,appropriate
谎称,Lying
多快,How much
傷到,hurt
受辱,Humiliate
督促,urge
蒼蠅,fly
转储,Dump
涂点,Coat
二人组,Two groups
天底下,At the end of the day
谢泼德,Xie Pode
人流,Abortion
弗伦,Flen
正规军,regular army
一进,Entered
巨怪,Giant
布列,Column
帕夫,Pav
怪異,weird
別著,Don't
一丁点儿,A bit
禿,bald
菲戈,Phora
接回来,Come back
勞達,Lauda
前兆,Precursory
月饼,moon cake
超级市场,supermarket
门缝,Seam
加些,Add some
单手,one-hand
北军,North army
п,п
之镜,Mirror
所幸,Fortunately
一泡,Bubble
想來,Think
老生常谈,Old talk
不重,not heavy
射击场,Shooting field
小白兔,White Rabbit
霍安,Huo An
拉高,Tall
破伤风,tetanus
引以为豪,proud of something
飞回,Fly back
一决,A decision
芅,Bamboo
莉安,Li'an
新花样,New pattern
大卡车,big truck
林区,Forest area
养猫,Cat
几滴,A few drops
席根斯,Schiffs
碎屑,Debris
甜瓜,melon
大哥大,Big brother
限速,Speed ​​limit
艮,Consider
開關,switch
牢不可破,unbreakable
有钱赚,Have money to earn
抚养费,Support
卡托,Carto
葬身,Funeral
工程学,engineering
泰国人,Thai
存进,save in
发表演说,Speech
不单单是,Not only
功課,homework
联,Jointly
珍重,treasure
漲,rise
华而不实,Fierce
未找到,not found
跟別,Follow
交还,Pay back
追忆,recall
抱头,Hug
不时之需,From time to time
以後會,Later
挨骂,Swindle
玛卡,Maca
伊藤,Ito
杜德,Dudu
卡罗斯,Caros
繩,rope
三位一体,Trinity
四海,Four seas
外交政策,Diplomatic policy
喜悅,joy
攬,Take a look
常年,All year round
撵,Bamboo
电气,electric
講述,Tell
这段话,This passage
本区,Region
條路,Journey
情事,Opinion
服务台,desk
平复,calm
数日,Several days
產常,Usual
恃,rely
卖艺,Sell ​​art
鮮血,Bloody
八重,Eight
纸板,cardboard
原子能,atomic energy
氯,chlorine
占星,Astrology
浅野,Shallow
灌篮,Lapade
一而再,Again
補充,Replenish
大增,Large increase
一談,Talk
太空服,Space suit
加強,strengthen
鸟中,Boy
一万年,a thousand years
十二分,Twice
手續,formalities
手续费,Fee
通力合作,Work together
罗茜,Luo Wei
空余,Empty
七十二,seventy two
松惠,Songhui
第二点,Second point
爱子,Love
猛犸象,Fierce
大脚怪,Big foot
废弃物,Waste
次元,Secondary yuan
小姨子,Little scorpion
高枕无忧,sit back and relax
洁丝,Clean silk
长篇大论,Long story
七成,Seven
演完,Finish
高貴,noble
应战,Be war
大眾,public
切碎,Chopped
加梅莉亚,Gamelia
观察力,Observe
緍,Bamboo
割礼,circumcision
ё,bamboo
我困,I'm sleepy
断断续续,Intermittent
窘迫,Distress
电极,electrode
讨生活,Discuss life
后宫,Harem
賤貨,Luxurious goods
许多次,many times
当之无愧,Be well deserved
先见,First see
达尼,Dani
還錢,Pay back
股掌,Palm
姨父,uncle
钱庄,Qianzhuang
特级,Special level
天子,Heaven
影音,Audio and video
哨声,Whistle
塞克斯,Sex
屎尿,Urine
货品,Goods
這不會,This will not
顺利完成,Done successfully
多留,More
點半,Half
半左右,Half or so
壞事,bad thing
苹果酒,cider
销售额,Sales
哄哄,Hacking
北野,North Ye
取走,Take away
一夫一妻制,A wife and a wife
小香,Little incense
百合花,lily
壘,base
俘,Capture
不演,Not
之恋,love of
宝莉,Baoli
滚远,Roll away
赫兹,hertz
捷,Unfold
一夥,A group of people
洛妮,Roman
最低工资,minimum wage
名媛,Celebrity
讨回公道,Justice
上課,Attend class
来意,Intentional
我正,I'm
不具,Does not have
道个,Tense
桒,Bamboo
勝,Win
卡米洛,Camilo
會覺,Meet
莫希,Moh
暂缓,Suspension
事出,Abundance
东侧,East side
冰棍,Popsicle
強調,Emphasize
亩,mu
螺絲,screw
钩住,hook
活过,Live
会照,Take a photo
牛肉干,Beef jerky
等同,Equivalent
少得,Be less
創始,Found
小铜,Small copper
相守,Stay
十九世纪,Nineteenth century
呆坐,Sit
褂,coat
竕,Bamboo
其母,Its mother
明蒂,Mingti
馆里,Museum
尼根,Nigen
小慎,Cautious
那顆,That one
狂妄自大,arrogant
地爱上,In love with
票价,fare
再装,Reload
花痴,anthomaniac
木下,Kinoshita
耻笑,Laugh
贝茜,Best
取水,Take water
钻孔,drilling
亚美尼亚人,Armenian
超想,Exceptionally
轮奸,Gang
区里,Zone
咔嚓,Be awkward
绳结,Rope knot
败给,Defeat
站成,Stand
聽器,Auditory
为乐,Be happy
老虎机,Slot machine
一周年,anniversary
吉隆坡,Kuala Lumpur
瘫,Paralysis
韩先生,Mr. Han
烛台,Candlestick
莫蒂,Moti
上等兵,Wait for the soldiers
前能,Before
摆姿势,Possession
卸掉,Unload
松口气,Tone
信纸,stationery
干妈,Drill
你治好,You cure
唱歌跳舞,sing and dance
乌拉圭,Uruguay
女同,Lesbian
浅色,Light color
圣彼得,Saint Peter
小鳥,Bird
每週,weekly
比西,West
解职,Dismiss
肉丸子,Meatballs
舉手,Raise hands
之初,At first
再起,Restore
排水沟,gutter
自食其果,Self-friendly fruit
新闻媒体,news media
只字不提,Just the word
一上午,One morning
马斯特,Maste
麦德林,Metro
永恆,eternal
软绵绵,soft
眼眸,Eye
埃尔维斯,Elvis
四轮,Four rounds
那幢,That building
虹,rainbow
四川,Sichuan
大耳,Big ear
杰里科,Jerico
阿基里,Aqui
社群,Community
纽约城,New York City
綪,Bamboo
感到痛苦,Feel painful
菏夯,Moli
小石头,small stone
驱走,Drive away
共进,Join
旧时,Old
枪子儿,shot
阿菲,Affi
浅薄,shallow
出乱子,Chaos
同个,Same
国道,state Road
雷纳德,Rear
更上一层楼,More on the next level
赫克,Heck
愁愁,Feel awkward
交易员,Traders
安徒生,Andersen
怠慢,Slowly
振泰,Vitality
草根,Grass root
严刑拷打,Strict punishment
硖,Bamboo
智囊团,Think tank
层层,Layer layer
木卫一,Woodwood
奥兰,Oran
死死,Dead death
新进展,new progress
戴维森,Davison
这楼,This building
阿里巴巴,Alibaba
木头人,Blockhead
自由派,liberal
西特,Western
不怀好意,Unpleasant
尚有,Still
绕开,Bypass
殷勤,attentive
阿亚,Aya
交织,Intertwined
跨国公司,multinational
样片,Sample
活儿干,Live
母后,Maternal
百般,in every possible way
富江,Fujiang
拖垮,Drag
秀才,Show
烧成灰,Burn
杞人忧天,Worry
古德,Gude
振作起,Vain
巴西人,Brazilian
海洛英,Hero
一樁,A pile
兩份,Two copies
泄,vent
调转,Rotate
挣点,Earn point
嚇,scare
玛戈,Magra
當上,become
保列,Boost
负面影响,Negative impact
这岛,This island
邮轮,Cruise ship
落跑,Ran
所受,Subject
西侧,West side
杂,miscellaneous
利亚诺,Liano
彭德,Peng De
闲置,Idle
波拉克,Polak
特立独行,Exclusive
戴好,Wear
珊侬,Shan
更別,Not
述,State
诺莉,Noli
检修,Overhaul
多點,More
凉子,Tanguo
庙会,temple fair
嫂,Wake
推特上,Pilot
血泊,Bloody
现阶段,At present
亲娘,Bride
香水味,perfume scents
车停,Car park
腮,cheek
少年犯,Juvenile
毛虫,caterpillar
雄风,Gland
先停,Stop
达赖喇嘛,Dalai Lama
寧靜,peaceful
法戈,F Fa
建設,Build
蜿蜒,Meandering
萬人,Ten thousand people
通緝,wanted
又会有,There will be
这不太,This is not too
笭,Bamboo
本森,Ben Sen
后患,future trouble
编成,Compile
基因组,Genome
麦迪森,Madison
相距,Apart
小亮,Small light
注目,Eye-catching
诺福克,Norfolk
劳改,Labor reform
内罗,Nairo
宜人,pleasant
上部,Upper part
甩卖,Sell
驾崩,Drive
丽尔,Lier
修理厂,Repair shop
大丧,Big mourning
擅自行动,Unauthorized action
夏利,Xiali
国立,National
多田,Ota
飘荡,drift
高僧,Sorghum
姨母,aunt
发自,Self
雅致,Elegant
戏子,actor
變形,Deformation
不俗,Unfounded
返程,Return
下文,Below
煩死,Trouble
瓷,porcelain
葛伦,Glen
來臨,advent
每部,Each
榜樣,example
而今,now
黑寡妇,Black widow
谢里,Xie Yi
大马哈鱼,Mahaka
饭钱,Meal
遮遮掩掩,Cover up
局子,Bureau
引线,lead
弗兰茨,Franz
深表同情,Deeply sympathy
還年,Still
大英,Big English
無緣,Misuse
沙哑,hoarse
哪张,Which
惹是生非,stir up trouble
跳海,Jump sea
送來,Send
詭計,trick
莴苣,lettuce
型,type
开回去,Go back
犯事,Cripple
热那亚,Genoa
大學生,College Students
敞開,Open
法拉第,Faraday
惊心动魄,Thrilling
靶心,Target heart
不自量力,Be unbearable
洋溢,Overflow
一条心,A heart
少说废话,Less talk
瓦砾,rubble
帳戶,account
主动权,Initiative
没敢,Not dare
草纸,toilet paper
截停,Intercept
入座,Enclosure
小卡,Small card
魔法石,Magic stone
田径,track and field
外祖父,Grandfather
胖胖,Fat
洛夫斯基,Lovski
无法回答,Unable to answer
這給,This gives this
餘,Remain
东亚,East Asia
抗爭,Strive
色盲,Color blindness
守卫者,defender
教化,enlightenment
敲开,Knock on
岩漿,magma
穐,Bamboo
埋单,Pay a bill
形体,Form
要演,Show
云霄飞车,roller coaster
杜夫,Duf
狗命,Dog life
全顺,Full sho
大佐,Polar
充沛,abundant
噫,Alas
加速度,Acceleration
约见,Approval
步步,step by step
认不,Not recognize
盟主,Alliance
偽造,Forge
機上,on board
照相馆,Photo studio
高难度,High difficulty
教材,Teaching materials
次日,Next day
近身,Close up
大不一样,Bigger
色情杂志,Erotic magazine
轉到,Go to
剪接,Splicing
一抹,A touch
脸朝下,Face down
水闸,sluice
天王星,Dawn star
马粪,Horse manure
悝,laugh
开支票,write a check
洽谈,Negotiate
占优势,Dominant
核电厂,Nuclear Power Plant
斯坦福大学,Stanford University
十万美元,"100,000 US dollars"
原材料,Raw material
匿名信,anonymous letter
流体,fluid
走访,Visit
奥德曼,Odman
維護,maintain
丹佛斯,Danfoss
午餐会,Luncheon party
達西,Darcy
入行,Entrance
卡通片,cartoon
再烦,Annoying
滩头,Beaches
血肉之躯,warm bodies
克拉科夫,Krakow
米琪,Mi Qi
滥交,Deride
發脾氣,loose the temper
吃不饱,Unsatument
碰壁,Hit the wall
奇卡,Qika
一玩,Play
就連,Even
一窝,Aesthetic
皮夹克,leather jacket
勞,labor
业务员,Salesman
出戏,Play
莫须有,Be unbearable
單上,Single
核电,nuclear power
场外,Off-site
稳定性,stability
过载,overload
矿上,Mine
穕,Bamboo
別理,Unreasonable
见面礼,Meet
這棟,This building
可怖,Horror
医官,Doctor
糷,Bamboo
控罪,Conviction
俗,Vulgar
蜂拥而至,Flock to
禁地,Prohibited
手榴彈,Grenade
太緊,Tight
那球,The ball
我冲,I am rushing
格蕾,Grab
密尔沃基,Milwaukee
嵯,lofty
娃娃脸,baby face
天职,Duty
米塔,Mita
乐声,Music
邏輯,logic
第三章,third chapter
难得一见,rare
神侯府,God Houfu
缺水,Lack of water
没大没小,so rude
小光,Light
得偿,Pay back
脾,spleen
累得,Tired
九點,Ninepoint
你造,You make
三万块,"30,000 blocks"
刊物,publication
推想,Imagine
歌喉,Song
施放,Cast
雷雨,thunderstorm
月色,Moonlight
死槍,Dead gun
瞯,Bamboo
水瓶座,Aquarius
意淫,Obstructive
塔卡,Tower
聖人,saint
你演,You play
乐哥,Music brother
基的,Base
阎王,Yama
畄,Bamboo
但求,But
阿克巴,Akba
当是,When is
干到,Do it
一在,In
洞悉,Insight
著急,in a hurry
放狗,Pray
千次,Thousand times
宰杀,slaughter
怀尔德,Wilde
红葡萄酒,Red wine
星团,cluster
亚麻,flax
快點兒,Hurry up
不脱,Do not take off
拜读,Read
ム,Bamboo
浓缩铀,Enrichre
朱蒂,Zhurti
进出口,import and export
垂死挣扎,sucker Punch
大森,Datun
阐明,Clarify
杂技,acrobatics
塞古,Sega
第二章,Chapter two
酒气,Alcohol
数百人,Hundreds of people
情願,Hope
捐精,Donate
爆满,Full
求得,Seek
激,Excitement
脱节,Disconnection
谘,Consult
贷,loan
一个打,A play
停课,Suspension
潦倒,Stumble
打击犯罪,Strike crime
伊利诺,Illinois
科尔特,Cort
酒席,feast
水裡,In water
激流,Rapid
违章,Violate the rules
塞拉利昂,Sierra Leone
牵绊,Tumble
桑顿,Sandton
佛斯,Fos
初见,First see
咱能,We can
限量版,limited edition
高高兴兴,Be happy
帐目,Account
生者,Living
一尘不染,Not infected
借鉴,Learn from
滑水,water skiing
筆記本,notebook
百分比,percentage
獵物,prey
大卖,big sale
理想主义,Idealism
喷漆,Spray paint
預算,Budget
处得,Affirm
這感覺,This feeling
压到,Press
安康,Ankang
快照,Snapshot
卡彭特,Carpenter
换位,transposition
炖牛肉,Stewed beef
判他,Trudge him
风险投资,Venture capital
录音棚,Recording studio
间谍活动,Espionage
奥地利人,Austrian
变色,Discoloration
随叫随到,Call along
歎,sigh
航天员,Astronaut
布兰森,Branson
送些,Give some
沒門,no way
跳台,Jump
敢情,Dare
洗发精,Shampoo
过段时间,after a while
杨戈,Yang Ge
傻站,Stupid station
针孔,Pinhole
经不起,Can't afford to
收支,Revenue
顿悟,Epiphanize
爵位,Title
無憂,Worry
哽咽,Swallow
供货商,supplier
蘿,radish
发色,hair color
允诺,promise
工友,Worker
錯什麼,Wrong
缴纳,Pay
隱私,privacy
事与愿违,Incident
亮片,Sequin
氧气瓶,oxygen cylinder
縣,County
读书人,student
那组,That group
晶晶,Crystalline
门后,Behind the door
娜迪雅,Nada
精校,Colony
阿兹,Az
蟲,insect
進到,Go into
克罗伊,Croy
撒拉,Salar
底座,Base
瑪莉,Mary
小寶貝,Baby
致命伤,Fatal injury
餐会,Restaurant
伎,trick
平次,Quarry
不渴,Not throw
很慘,Very miserable
科学实验,science experiment
祭拜,Worship
真准,Really accurate
慧琳,Huilin
自焚,Self-immolation
小空,Small air
偷猎者,Rim
查问,Check
尝点,Tasting point
伯吉斯,Birgis
维苏威,Vesuvi
督德,Morality
三百元,Three hundred yuan
骗徒,Deceive
斥责,Rebuke
葛瑞,Ge Rui
达卡,Dhaka
病毒感染,Viral infection
被炸飞,Fry
果戈理,Fruit
验,Inspect
高位,High position
事由,Thing
中字,Chinese word
布丽,Bose
不恨,Do not hate
费尽,Exhausted
红皮,Red skin
普金,Deposit
避難,Refuge
白領,White collar
米长,Rice long
载入史册,recorded in history
写照,Portray
后顾之忧,Worries
会留,Stay
无忧,Worry
那全,All
震驚,Shock
瞥见,glimpse
夜叉,Night-fork
这太扯,This is too pulling
艳遇,Affair
抓贼,Grasp the thief
地写,Check
小五郎,Xiao Wulang
煎锅,Frying pan
左面,left
调味料,seasoning
咸菜,pickle
前院,forecourt
武田,Wutian
没好,not good
没品,No
烟幕,smokescreen
开眼界,Open eye
风衣,Windbreaker
攜帶,carry
登出,Sign out
穆克,Musk
互相照顾,Take care of each other
麻瓜,Macro
彭彭,Peng Peng
雞尾酒,cocktail
死缠烂打,Death
投怀送抱,Make a compliment
交上去,submit
造谣,Rumor
新专辑,new album
汽笛,whistle
五件,five piece
丽茜,Lishi
ﾛ,ロ
比尼,Bini
特战,Special war
塞浦路斯,Cyprus
厂房,Factory building
红地毯,Red carpet
米沙,Missha
狗娘養,Dogma
玼,Bamboo
探照灯,searchlight
驶往,Go to
东非,East non-
漫天,All over the sky
教课,Teach
有条理,Have an organ
洛莉,Loli
朱利,Juli
谢礼,Xie Li
你会害,You will harm
索林,Solin
税款,Tax
氢弹,hydrogen bomb
震颤,Tremor
太瘋狂,so crazy
聚合,polymerization
无不,None
克里尔,Cleril
要务,Maintenance
語音,voice
虐,Abuse
精神分析,Psychoanalysis
七位,Seven
两公里,Two kilometers
小虫子,small bug
内幕消息,Insider information
露易,Dew
标枪,javelin
采食,Seize
聪明绝顶,Smart
高素,High
沒死,not dead
憋气,Suffocate
鏽,rust
太公,Tai Gong
取自,Take from
祖伊,Zuyi
爆竹,Firecracker
涂满,Dress full
异域,Foreign domain
驼鹿,moose
葛林,Ge Lin
洞窟,Cave
金黄色,Golden
跩,swagger
沟渠,ditch
斩草除根,斩 斩
屑,Crumbs
不安分,Restless
民主化,Democratization
戴伦,Dature
沒有別,Nothing else
活动家,activist
起色,improvement
若真,Really
示爱,Show love
春子,Spring
用剑,Sword
喷到,Spray
重度,Severe
將近,nearly
费里,Ferry
茁壮成长,growing up healthily
宫女,Palace
昏昏欲睡,sleepy
昏厥,syncope
之术,Descriptive
饭厅,dining room
棒球帽,Baseball cap
反坦克,Antirect
朝拜,worship
事务部,Transaction
情節,plot
入围,Sport
接班,Take off work
没玩过,never play it
念经,Readily
河邊,riverside
淤泥,silt
小安,Xiao'an
大受欢迎,Popular
英特尔,Intel
勃艮第,Burgundy
火口,Fire mouth
亲朋好友,Friends and family
牢牢地,tightly
米雪儿,Michelle
強暴,Violent
我烦,I am annoying
唱过,Sing
六块,Six pieces
自宅,Self-service
塞西莉亚,Seliia
没停,Not stop
合眼,Gloom
别掉,Don't fall
巨猩,Gigab
危机四伏,Crisis
白鬼,White ghost
王大人,Wang Qiren
度假胜地,vacation spot
虎式,Tiger style
平生,Pinstone
毫无希望,No hope
背书,endorsement
去問,Ask
爷们儿,man
心神,mind
认字,Make known words
不吸,Do not suck
陈老师,Teacher Chen
每周日,Weekly day
报表,Report
光之王,Light king
专横,imperious
生意兴隆,Business is booming
脸色苍白,Paled face
闭一只眼,Close one eye
罪大恶极,Crime
普吉,Phuket
阿弟,Brother
挥杆,Swing
杨先生,Mr. Yang
大半个,Most
同甘共苦,share weal and woe
森美,Senmei
大戏,Big show
普罗维登斯,Provendes
本性难移,It is difficult to move
马吉德,Majid
交学费,Pay a tuition fee
産,Produce
企鵝,Penguin
酒厂,winery
民主主义,Democracy
好慢,so slow
ء,ء
健将,Gather
艳丽,Gorgeous
證詞,testimony
歌唱家,Singingist
機票,Air tickets
载有,Contain
金童,Golden children
起跑线,starting line
吹拂,Blow
祠堂,Ancestral hall
狂风暴雨,Stormy rain
幅度,Amplitude
获奖者,winner
本台,This table
刑场,execution ground
死过,Dead
似有,Seemingly
侦探小说,Detective story
征途,Journey
太怪,Too blame
退让,Retreat
ｅ,e
家臣,Family
氣色,Color
真一,True
最迟,Late
市价,market price
邪念,Evil
用用,use
阿莱,Ale
一樂,Ale
簽個,Sign a sign
令牌,Order
里斯特,Rister
切拉,Chila
尊姓大名,Honorable name
金表,Gold watch
暴動,riot
长跑,Long run
一千五百,Fifteen hundred
崔益,Cui Yi
亚法隆,Yafon
認罪,Plead guilty
里希特,Richt
物归原主,Retriever
込,Bamboo
完整性,Integrity
様,Bamboo
哈洛德,Harod
煩人,Annoying
软骨,Cartilage
起家,Start
万磅,Ten thousand pounds
廻,Bamboo
捐献者,donor
哦哦哦,Oh oh oh
没定,Be defined
還小,Still small
陸,land
飘忽不定,Erratic
怂,Desert
支那,Branch
几年级,What grade
小到,Small to
期末,Final ending
靠窗,Up window
红衣服,Reddish
棒球赛,Baseball match
游动,Swim
常数,constant
现下,Now
冰室,ice room
抖出来,Shake out
靶,target
加沙,Gaza
校内,Campus
偷跑,Steal
短剑,dagger
以东,East
翻译成,translate to
继任,Succeed
他个,He
推举,Recommend
府邸,House
疾风,blast
半路上,on the way
世贸中心,World Trade Center
粗魯,Rude
做下,Do next
這麼問,Such a question
供述,Confess
驢,donkey
你夠,You are enough
奥特曼,Altman
幾分,a bit
八周,Eight-week
阿德莱德,Adelaide
花梨,Rosewat
尽忠职守,Loyal
不毛之地,barren land
不知所谓,Ridiculous
能放,Can
翠西,Tiexi
哈肯,Hawak
火枪,Gun
中旬,Mid
印出来,Printed
白厅,White hall
棕发,Brown hair
眼部,Eye
靜,quiet
重來,Again
越障,Estimate
ﺊ,Bamboo
同位素,isotope
衰败,decay
上策,Contest
病危,Danger
畅游,Swim
小川,Xiaochuan
逢场作戏,Flirtation
規律,law
上主,At the Lord
亡命之徒,Desperate
名不虚传,Name
保險箱,safe
盃,Cup
你點,You point
错位,dislocation
接好,Take a good
德布,Debu
擔憂,Worry
斯菲尔德,Sfeld
配额,quota
德尼,Derney
主动出击,Take the initiative
瘸腿,Hint
星象,Star icon
双翼,Double wing
卡迪亚,Cadia
直击,Direct hit
大车,cart
捷足先登,Jianfa
因人,Person
夹紧,Clamp
布伦,Brun
水会,Water conference
性是,Sex
精心设计,Well-designed
军械库,armory
咏叹调,aria
收发室,Transceiver
球探,Scout
我怀,I am pregnant
卡什,Kash
夜深,Night deep
通敌,Communicate
简简单单,simple
所写,Written
绷,stretch
球季,Ball season
呼吸声,Breathing
会待,Wait to
黑衣服,Black clothes
放暑假,summer holiday
残局,Resumption
乔舒亚,Josia
小蘭,Xiaolan
荣获,Won
寝宫,Palace
武器库,Armory
世故,World
貂皮,mink
字符串,String
调制,modulation
阿肯,Aken
华伦天奴,Valentino
远超过,Far more than
吊桥,suspension bridge
辣椒酱,chili sauce
空中小姐,stewardess
甁,Bamboo
征得,Acquire
克什,Kash
棒球棒,bat
近代,Modern
官人,Official
搭话,get in a word
冤,injustice
自身难保,Unable to help themselves
肉食,meat
位数,Bit number
兴旺,thriving
代表性,Representative
海沃德,Hayward
苹果树,Apple tree
问询,Inquiry
詩,poetry
装点,Unload
原作,original
丽子,Grain
奥德赛,Odyssey
罗妮,Ron
设有,With
加菲猫,Garfield
紫禁城,Forbidden City
計算機,computer
当差,Be
報社,Newspaper
急救室,emergency room
失联,Lose a linked
奠,Lay
几個,several
肯辛顿,Kensington
欧米茄,Omega
错人,Wrongman
明朝,Ming Dynasty
斋戒,Fasting
竞拍,Bid
发出信号,transmit signal
二猛,Second
会受,Be subject to
弥莎,Miss
优厚,generous
胖小子,Fat boy
游乐,Amusement
克罗克,Croker
屍体,Corpse
吊起,Hang up
慢动作,Slow motion
敏珠,Sensitive bead
太妃糖,Torchable sugar
胖女人,Fat woman
自由女神,Free goddess
裁判官,judge
一舉,In one fell swoop
安裝,Install
這東,This east
斗山,Mount Mountain
砐,Bamboo
觀眾們,Audiences
过好,Good
小规模,Small scale
买花,Buy flowers
驶入,Enter into
籌碼,Chip
隐退,Retire
快没了,Be almost gone
分机,Extension
人向,Man
牟利,Profit
賭注,bet
菲恩,Fan
欧利,European
呯,Bamboo
节俭,frugal
進化,evolution
市值,Market value
骨瘦如柴,Bone skin
绘里,Plot
夜景,night view
胸毛,Chest
五月花,May flower
玻璃瓶,Glass bottle
第二道,Second road
亞倫,Aaron
黯淡,dim
奸杀,Traitor
遞給,Handle
那太糟,That is too bad
取回来,Take back
雪雁,Snow geese
二货,Second goods
刻骨铭心,Unforgettable
常驻,permanent
能克服,Overcome
切丽,Cut
愛了,Love
订过,Order
撤诉,Disar
不能逃避,Can't escape
第三步,third step
敌手,adversary
焚毁,Burn
巨无霸,Giant
簗,Bamboo
法务,Legal
本尊,Present
测定,Measure
执行公务,Official service
点灯,Light
做派,Send
成功人士,Successful people
四十个,Forty
螌,Bamboo
浮冰,floating ice
启齿,Tooth
施咒,Spell
胎盘,placenta
莎莎,Salsa
揸,Bamboo
右轉,Turn right
卡文,Cay Wen
圣物,Holy object
瑪麗亞,Maria
趕時間,Take time
袖扣,Cufflink
破船,Ship
杀猪,Kill pigs
指示灯,Indicator light
直冲,Straightforward
原油,crude
健怡,Luckily
那层,That layer
引導,guide
半瓶,Half bottle
他怕,He fears
落败,Defeat
依恋,Attachment
斯密斯,Sthis
起劲,vigorously
幼兒園,kindergarten
跪拜,bow down
闲晃,Idle
麻省理工学院,Massachusetts Institute of Technology
条河,River
颠,Strike
事出有因,Survey
风纪,Discipline
化妆室,Makeup room
门下,Underground
宋先生,Mr. Song
点见,See
安全漏洞,Safety vulnerability
梅耶,Meiye
玩過,Play
运输车,Transport vehicle
哨,post
斯塔斯,Stas
请代,Present
下一阶段,Next stage
毫无道理,Unreasonable
谈情说爱,Talk about love
立花,Set
桌边,Table
枢木,Pivot
树屋,tree house
名為,Named
化为灰烬,Ash
虔,Disgrace
刀具,Knife
您老,Your old
審查,Review
提着,carrying
快進,Fast forward
中川,Nakagawa
优先权,priority
理顺,Stunned
说不过去,Can't say
适者生存,Adaptive
间隙,gap
沉痛,bitter
值得注意,Worth noting
穷追不舍,Poor chasing
火器,firearm
情意,affection
智妍,Ji Yeon
适时,Timely
理科,science
幻听,Miss
演了,Play
這又是,This is another
个人信息,Personal information
不急,Not urgent
發抖,trembling
優點,advantage
强权,power
抽动,twitch
血洗,Blood wash
古力,Ancient
三架,Three
多虑,Worry
投票表决,Vote
挨个,One
带狗,Dog
白纸,White paper
诸事,Everything
别是,Not
福星,Fuxing
共同努力,Work together
静谧,Quiet
十萬,"100,000"
东风,Dongfeng
傖,rude
首屈一指,None
求婚者,suitor
近海,Offshore
汉妮,Hanni
愛死,Love
打头阵,Play ahead
塞尔达,Serda
吃水果,Eating fruit
缝好,Sew
先坐,First sit
利科,Like
叛党,Rebel party
鏈,chain
萝伦,Luolong
低調,Low-key
跟上去,Follow up
乌鲁克,Uruk
富家女,Rich woman
防晒油,Sunscreen
泰晤士报,Times
定好,confirm
背景音乐,Background music
解藥,Antidote
对不上,sorry
沃尔科特,Walcott
瓶装,bottled
这列,This list
拉蒙特,Rammont
连话都,Allocation
公益,Public welfare
婆罗,Borneo
機長,captain
历历在目,Vivid
贖罪,Atone
钢琴师,pianist
地死,Dead death
量子力学,Quantum mechanics
玪,Bamboo
奥图,Otto
屠,Butcher
拉赫,Rach
戈斯,Gos
奇曼,Wonderfully
訴,Complaint
小卢,Xiao Lu
鲜红,Bright red
