,Chinese,English,Pinyin
30123,理财,Financial management,lǐcái
30124,处事,Do things,chǔshì
30125,一面镜子,Mirror,yīmiànjìngzǐ
30126,他害,Harmful,tuòhài
30127,榘,Bamboo,jǔ
30128,太牛,Too,tàiniú
30129,審團,Trial,shěntuán
30130,试验品,tester,shìyànpǐn
30131,空房间,empty room,kōngfángjiān
30132,风平浪静,Wind and calm,fēngpínglàngjìng
30133,格式,Format,géshì
30134,管不住,Can't hold,guǎnbuzhù
30135,几把,Several,jǐbǎ
30136,小指,Small finger,xiǎozhǐ
30137,杜邦,DuPont,dùbāng
30138,波里,Boli,bōlǐ
30139,違,Violate,wéi
30140,交响曲,symphony,jiāoxiǎngqǔ
30141,鳟鱼,Trout,zūnyú
30142,真菌,Fungi,zhēnjūn
30143,对照,Control,duìzhào
30144,华盛顿邮报,Washington post,huáshèngdùnyóubào
30145,维维安,Vi'an,wéiwéiān
30146,嘈杂,noisy,cáozá
30147,曲奇饼,cookies,qūqíbǐng
30148,施法,Casting,shīfǎ
30149,围住,Surround,wéizhù
30150,割破,Cut down,gēpò
30151,各路,Various roads,gèlù
30152,森严,strict,sēnyán
30153,撃,Bamboo,jī
30154,柔情,tenderness,róuqíng
30155,清查,Check out,qīngchá
30156,转帐,Transfer,zhuǎnzhàng
30157,不先,Unhappy,bù xiān
30158,复,complex,fù
30159,英式,British,yīngshì
30160,サ,Bamboo,サ
30161,遍及,All over,biànjí
30162,擔任,Serve as,dānrèn
30163,落泪,Tears,luòlèi
30164,卡西欧,Casio,kǎxīōu
30165,卡夫,Kraft,kǎfū
30166,待机,Standby,dàijī
30167,皌,Bamboo,mò
30168,夯,Tamper,hāng
30169,税金,Taxation,shuìjīn
30170,大道理,Parents,dàdàoli
30171,甘蔗,sugar cane,gānzhe
30172,千秋,Millennium,qiānqiū
30173,矜持,reserved,jīnchí
30174,天快,Sky,tiānkuài
30175,活不成,Indiscriminately,huóbuchéng
30176,强风,Gale,qiángfēng
30177,爱不爱,Love,àibuài
30178,妙不可言,Unspeakable,miàobùkěyán
30179,陈旧,obsolete,chénjiù
30180,盧,Lu,lú
30181,对於,for,duìwū
30182,捣蛋鬼,Trick,dǎodànguǐ
30183,锯木厂,Sawmill,jùmùchǎng
30184,只当,Only,zhīdāng
30185,把握住,Grasp,bǎwòzhù
30186,淸,Bamboo,qīng
30187,杂交,Hybridize,zájiāo
30188,暂时性,Temporary,zànshíxìng
30189,牽,Take,qiān
30190,两声,Two sounds,liǎngshēng
30191,掙,earn,zhèng
30192,没多大,Not much,mòduōdà
30193,汉奸,Traitor,hànjiān
30194,可人,Can,kěrén
30195,上时,Last time,shàngshí
30196,非去不可,Not,fēiqùbukě
30197,帕皮,Papi,pàpí
30198,階級,class,jiējí
30199,飞离,Disengage,fēilí
30200,差勁,poor,chàjìn
30201,托雷斯,Torres,tuōléisī
30202,无路,No,wú lù
30203,基友,gay friend,jīyǒu
30204,搭载,Carry,dāzài
30205,说闲话,gossip,shuōxiánhuà
30206,第一周,the first week,dìyīzhōu
30207,更多,More,gēng duō
30208,绝配,Perfect match,juépèi
30209,击毁,wreck,jīhuǐ
30210,极致,Extremely,jízhì
30211,掣,Hinder,chè
30212,繵,Bamboo,繵
30213,上工,Upper work,shànggōng
30214,酿,wine,niàng
30215,碆,Bamboo,碆
30216,亚力,Yari,yàlì
30217,镜片,lens,jìngpiàn
30218,长腿,Long legs,zhǎngtuǐ
30219,前途无量,Plentiful,qiántúwúliàng
30220,奇哥,Qifang,qígē
30221,拉莫斯,Ramos,lāmòsī
30222,指名,name,zhǐmíng
30223,去学,Learn,qùxué
30224,隐姓埋名,Hidden surname,yǐnxìngmáimíng
30225,检察,Prosecution,jiǎnchá
30226,还太早,Still too early,háitàizǎo
30227,喧哗,Shout,xuānhuá
30228,买进,buy,mǎijìn
30229,自治,autonomy,zìzhì
30230,不好惹,not to be trifled,bùhǎorě
30231,美第奇,Beauty,měidìqí
30232,喀布尔,Kabul,kābùěr
30233,留念,Remember,liúniàn
30234,电话卡,phone card,diànhuàkǎ
30235,想法子,Ideis,xiǎngfǎzǐ
30236,基姆,Lethar,jīmǔ
30237,预留,Reserve,yùliú
30238,哪学,Where to learn,nǎxué
30239,員工,staff,yuángōng
30240,燒死,Burn,shāosǐ
30241,破坏力,Destructive power,pòhuàilì
30242,染病,Dye,rǎnbìng
30243,好自为之,Good,hǎozìwéizhī
30244,一年一度,One year one degree,yīniányīdù
30245,摇篮曲,Cradle,yáolánqǔ
30246,全无,All,quánwú
30247,物有所值,Value,wùyǒusuǒzhí
30248,吃過,Eaten,chīguò
30249,喬伊,Joey,qiáoyī
30250,挣到,Earn,zhēngdào
30251,一瞥,glance,yīpiē
30252,汉南,Hannan,hànnán
30253,千智,Kilo,qiānzhì
30254,棉,cotton,mián
30255,张票,Turtle,zhāngpiào
30256,甩不掉,Can't get,shuǎibudiào
30257,亡,Death,wáng
30258,路灯,Street light,lùdēng
30259,企划,Plan,qǐhuà
30260,塞纳,Senna,sāinà
30261,欢,joyous,huān
30262,兩句,Two sentences,liǎngjù
30263,羁押,Detention,jīyā
30264,巴特利,Batley,bātèlì
30265,程序员,programmer,chéngxùyuán
30266,京子,Jingzi,jīngzǐ
30267,借个,lend me a,jiège
30268,立志,Determine,lìzhì
30269,校准,calibration,jiàozhǔn
30270,猪仔,Piglet,zhūzǎi
30271,握有,Grip,wòyǒu
30272,贪得无厌,Grateful,tāndéwúyàn
30273,不合时宜,Uncomfortable,bùhéshíyí
30274,赏光,Lighten light,shǎngguāng
30275,制毒,Poison,zhìdú
30276,顾忌,Scruple,gùjì
30277,盏灯,Lamp,zhǎndēng
30278,盋,Bamboo,bō
30279,国境,Country,guójìng
30280,太阳光,sunshine,tàiyángguāng
30281,阿华,Awar,ēhuá
30282,要照,Take photos,yàozhào
30283,多得是,More,duōdeshì
30284,傳言,Rumor,chuányán
30285,啄木鸟,woodpecker,zhuómùniǎo
30286,奴隶制,Slavery,núlìzhì
30287,那棵树,That tree,nàkēshù
30288,官員,Officials,guānyuán
30289,第六个,sixth,dìliùge
30290,籍,membership,jí
30291,透不过气,Not too gas,tòubuguòqì
30292,力道,Force,lìdào
30293,突破口,Breakout,tupòkǒu
30294,一败涂地,Beat,yībàitúdì
30295,風景,landscape,fēngjǐng
30296,表示歉意,Apologizes,biǎoshìqiànyì
30297,科隆,Cologne,kēlóng
30298,益处,benefit,yìchu
30299,情况紧急,Urgent situation,qíngkuàngjǐnjí
30300,沙耶,Sandy,shāyé
30301,几样,A few,jǐyàng
30302,砬,Bamboo,lá
30303,老三,Old three,lǎosān
30304,換了,Changed,huànliǎo
30305,后勤,logistics,hòuqín
30306,吉莉安,Gili An,jílìān
30307,李家,Li Jia,lǐjiā
30308,好斗,Fighting,hàodòu
30309,號倉,Mark,háocāng
30310,作業,Operation,zuòyè
30311,艾里,Airi,àilǐ
30312,已过,Have passed,yǐguò
30313,马马虎虎,Horseback,mǎmahūhū
30314,莺歌,Yang,yīnggē
30315,野村,Wild village,yěcūn
30316,弗里茨,Fritz,fúlǐcí
30317,签合同,Sign contract,qiānhétóng
30318,藤井,Vine well,téngjǐng
30319,穷鬼,Poor ghost,qióngguǐ
30320,令人难忘,difficult to forget,lìngrénnánwàng
30321,立足,Stand up,lìzú
30322,小艾,Xiao Ai,xiǎoài
30323,手把,Handle,shǒubà
30324,雪利,Sherry,xuělì
30325,负载,load,fùzài
30326,曾祖母,great grandmother,zēngzǔmǔ
30327,神学,theology,shénxué
30328,脐带,Umbilical cord,qídài
30329,淨,net,jìng
30330,名望,Hope,míngwàng
30331,明朗,clear,mínglǎng
30332,医务人员,Medical staff,yīwùrényuán
30333,舵手,helmsman,duòshǒu
30334,波斯基,Persi,bōsījī
30335,讬,Bamboo,tuō
30336,破处,Break,pòchǔ
30337,奧利,Orly,àolì
30338,創意,Creativity,chuàngyì
30339,沙司,Sauce,shāsī
30340,妇科医生,gynecologist,fùkēyīshēng
30341,米奥,Mio,mǐào
30342,拿主意,make a decision,názhǔyi
30343,辯護,defend,biànhù
30344,阿飞,hooligan,āfēi
30345,内到,Inside,nèidào
30346,制品,Product,zhìpǐn
30347,阿真,Agree,ēzhēn
30348,立克,Rig,lìkè
30349,瞎掰,in vain,xiābāi
30350,纽约大学,New York University,niǔyuēdàxué
30351,现如今,nowadays,xiànrújīn
30352,独生女,Blessing,dúshēngnǚ
30353,稳重,steady,wěnzhòng
30354,教廷,Holy See,jiàotíng
30355,伤心欲绝,Hurt,shāngxīnyùjué
30356,本镇,Treasure,běnzhèn
30357,生产线,production line,shēngchǎnxiàn
30358,人嘛,People,rénma
30359,寒风,Cold wind,hánfēng
30360,女方,Woman,nǚfāng
30361,洗澡时,Take a shower,xǐzǎoshí
30362,水枪,water gun,shuǐqiāng
30363,阵阵,Burst,zhènzhèn
30364,退货,return the goods,tuìhuò
30365,电线杆,telephone pole,diànxiàngǎn
30366,就范,In place,jiùfàn
30367,多蒂,Diudi,duōdì
30368,放点,Put some,fàng diǎn
30369,法國人,French,fǎguórén
30370,买辆,Buy,mǎiliàng
30371,运回,Shipped back,yùnhuí
30372,警衛,Guard,jǐngwèi
30373,篮,basket,lán
30374,分行,Branch,fēnháng
30375,不谢,Disabate,bùxiè
30376,林克,Link,línkè
30377,雖,although,suī
30378,陪你走,Be with you,péinǐzǒu
30379,摔了一跤,Fell,shuāiliǎoyījiāo
30380,凤尾,Phoenix,fèngwěi
30381,惹出,Provoke out,rěchū
30382,肯德尔,KFR,kěndéěr
30383,斯蒙德,Smond,sīméngdé
30384,泰格,Tag,tàigé
30385,炸酱面,Fried sauce,zhájiàngmiàn
30386,指著,Poke,zhǐzháo
30387,犴,jail,àn
30388,右腿,Right leg,yòutuǐ
30389,安德斯,Anders,āndésī
30390,二重唱,Diced,èrchóngchàng
30391,两枚,Two,liǎngméi
30392,臩,Bamboo,臩
30393,共处一室,Live room,gòngchùyīshì
30394,骇人听闻,Shocking,hàiréntīngwén
30395,平滑,smooth,pínghuá
30396,惠子,Huizi,huìzi
30397,成型,forming,chéngxíng
30398,发工资,Salary,fāgōngzī
30399,晚年,old age,wǎnnián
30400,科德,Kodo,kēdé
30401,伙計們,guys,huǒjìmen
30402,称霸,dominate,chēngbà
30403,捕手,catcher,bǔshǒu
30404,卖东西,sell things,màidōngxī
30405,我现,I am now,wǒxiàn
30406,繁化,Promote,fánhuà
30407,家来,Family,jiālái
30408,獻給,Dedicate,xiàngěi
30409,低价,Low price,dījià
30410,没输,Do not lose,mòshū
30411,石柱,Stone column,shízhù
30412,第三条,Third article,dìsāntiáo
30413,臣服于,Convinced,chénfúyú
30414,七点钟,seven o 'clock,qīdiǎnzhōng
30415,医务,Medical,yīwù
30416,斯姆兰,Sumland,sīmǔlán
30417,先吃点,First eat,xiānchīdiǎn
30418,敏俊,Sensitive,mǐnjùn
30419,说不上,Can't say,shuōbushàng
30420,更会,More,gēnghuì
30421,冲昏,Stunned,chōnghūn
30422,物質,substance,wùzhì
30423,立体声,stereo,lìtǐshēng
30424,大业,great cause,dàyè
30425,烈日,Bustle,lièrì
30426,假惺惺,hypocritically,jiǎxīngxīng
30427,新颖,novel,xīnyǐng
30428,貂,mink,diāo
30429,电筒,Flashlight,diàntǒng
30430,天眼,Heavenly eyes,tiānyǎn
30431,多天,Days,duōtiān
30432,躲躲藏藏,Hide,duǒduǒcángcáng
30433,巴林,Bahrain,bālín
30434,大會,General Assembly,dàhuì
30435,一两年,Year or two years,yīliǎngnián
30436,朱诺,Juno,zhūnuò
30437,提成,Commission,tíchéng
30438,咒术,Spell,zhòushù
30439,体位,Position,tǐwèi
30440,布巴,Buba,bùbā
30441,按兵不动,Inquire,ànbīngbùdòng
30442,塞尔玛,Selma,sāiěrmǎ
30443,大开,Open,dàkāi
30444,破布,rag,pòbù
30445,第三位,the third,dìsānwèi
30446,在你看来,in your opinion,zàinǐkànlái
30447,灾星,Disaster star,zāixīng
30448,探病,Probe,tànbìng
30449,仍能,Still,réngnéng
30450,过境,Transit,guòjìng
30451,三支,Three,sānzhī
30452,詭異,Strange,guǐyì
30453,吸煙,Smoke,xīyān
30454,军备,arms,jūnbèi
30455,那先,First,nàxiān
30456,三重,triple,sānchóng
30457,托马,Toma,tuōmǎ
30458,工作岗位,Job position,gōngzuògǎngwèi
30459,饰品,accessories,shìpǐn
30460,站点,Site,zhàndiǎn
30461,救下,Rescue,jiù xià
30462,喝够,Drink enough,hègòu
30463,补丁,patch,bǔding
30464,蔚蓝,Blue,wèilán
30465,殉职,Die,xùnzhí
30466,口才,eloquence,kǒucái
30467,合体,Fit,hétǐ
30468,芒,mango,máng
30469,嘩,Clamor,huá
30470,欠下,Owe,qiànxià
30471,良,good,liáng
30472,運行,run,yùnxíng
30473,叶问,Ip man,yèwèn
30474,通关,Clearance,tōngguān
30475,阿丽,Alice,ēlì
30476,從前,Previously,cóngqián
30477,第二层,Second floor,dìèrcéng
30478,黑斯廷斯,Hestins,hēisītíngsī
30479,个案,Case,gèàn
30480,掌心,Palm,zhǎngxīn
30481,垫底,Bottom,diàndǐ
30482,请回到,Please return,qǐnghuídào
30483,坏东西,Bad things,huàidōngxi
30484,水滴,Water droplets,shuǐdī
30485,罗蕾莱,Luoleley,luólěilái
30486,山林,Mountain forest,shānlín
30487,价值连城,Value,jiàzhíliánchéng
30488,葱,onion,cōng
30489,装甲部队,Armor,zhuāngjiabùduì
30490,分期付款,installment,fēnqīfùkuǎn
30491,應用,application,yìngyòng
30492,绵延,Stretch,miányán
30493,保健,health care,bǎojiàn
30494,井里,In a well,jǐnglǐ
30495,泭,Bamboo,fū
30496,吸进去,Suck in,xījìnqù
30497,也給,Also give,yěgěi
30498,一品,One product,yīpǐn
30499,主见,Primary,zhǔjiàn
30500,没门儿,No-door,méiménr
30501,热带雨林,Rainforest,rèdàiyǔlín
30502,蚚,Bamboo,蚚
30503,疗养,Hear,liáoyǎng
30504,無限,unlimited,wúxiàn
30505,斯托克斯,Stokes,sītuōkèsī
30506,恰克,Chak,qiàkè
30507,气得,Gather,qìde
30508,打磨,Grind,dǎmó
30509,阿海,A sea,ēhǎi
30510,基础设施,infrastructure,jīchǔshèshī
30511,尸首,Corpse,shīshou
30512,點的,Point,diǎnde
30513,這招,This trick,zhèzhāo
30514,凯洛,Kello,kǎiluò
30515,至死不渝,Until death,zhìsǐbuyú
30516,罪惡,sin,zuìè
30517,上門,Go on the door,shàngmén
30518,珼,Bamboo,珼
30519,瓦尔特,Walter,wǎěrtè
30520,筹,Raise,chóu
30521,爱薇,AV,àiwēi
30522,火山爆发,volcanic eruptions,huǒshānbàofā
30523,联军,Coalition,liánjūn
30524,南太平洋,South Pacific,nántàipíngyáng
30525,浩瀚,Vast,hàohàn
30526,晶体,Crystal,jīngtǐ
30527,大获全胜,Gain a big victory,dàhuòquánshèng
30528,一心一意,One heart,yīxīnyīyì
30529,海勒,Harbor,hǎilēi
30530,老练,experienced,lǎoliàn
30531,賤人,Monk,jiànrén
30532,簽署,sign,qiānshǔ
30533,帝国主义,imperialism,dìguózhǔyì
30534,迫在眉睫,Imminent,pòzàiméijié
30535,第十四,fourteenth,dìshísì
30536,赴汤蹈火,Go to the soup fire,fùtāngdǎohuǒ
30537,冰面,Ice,bīngmiàn
30538,千里迢迢,Kilometers,qiānlǐtiáotiáo
30539,溪流,stream,xīliú
30540,低等,Low,dīděng
30541,兴许,Prime,xìngxǔ
30542,螣,flying dragon,téng
30543,研究成果,Research results,yánjiūchéngguǒ
30544,知更鸟,Robin,zhīgēngniǎo
30545,守望,Watch,shǒuwàng
30546,社会主义者,socialist,shèhuìzhǔyìzhě
30547,安靜點,Be quiet,ānjìng diǎn
30548,自给自足,Self-sufficient,zìjǐzìzú
30549,悟,Realize,wù
30550,让出,Let out,ràngchū
30551,毫无保留,nothing left,háowúbǎoliú
30552,右臂,Right arm,yòubì
30553,家小,wife and children,jiāxiǎo
30554,缓,slow,huǎn
30555,基尼,Kini,jīní
30556,利益冲突,Conflict,lìyìchōngtu
30557,庙宇,temple,miàoyǔ
30558,打个比方,Make a bit more,dǎgebǐfāng
30559,征战,campaign,zhēngzhàn
30560,中枢,Central,zhōngshū
30561,体质,constitution,tǐzhì
30562,分離,Separate,fēnlí
30563,快睡吧,Sleep quickly,kuàishuìbā
30564,世外桃源,Shutao,shìwàitáoyuán
30565,狂喜,ecstasy,kuángxǐ
30566,小金,Small gold,xiǎojīn
30567,謠言,rumor,yáoyán
30568,寒意,chill,hányì
30569,疲惫不堪,Exhausted,píbèibùkān
30570,惯用,Customary,guànyòng
30571,侦察兵,Scout,zhēnchábīng
30572,无领,Unlike,wúlǐng
30573,主炮,Main gun,zhǔpào
30574,阿威,Away,ēwēi
30575,宾利,Bentley,bīnlì
30576,耕种,Cultivate,gēngzhòng
30577,鴿子,Pigeon,gēzi
30578,多美,How beautiful,duō měi
30579,伴儿,companion,bànr
30580,逢,Meet,féng
30581,檢驗,test,jiǎnyàn
30582,具体情况,specific situation,jùtǐqíngkuàng
30583,自控,Self-control,zìkòng
30584,有光,bright,yǒuguāng
30585,畏缩,Shrink,wèisuō
30586,ォ,Bamboo,ォ
30587,ツ,Bamboo,ツ
30588,碝,Bamboo,ruǎn
30589,這事兒,This matter,zhè shìr
30590,眼力,eyesight,yǎnlì
30591,无限期,Indefinite,wúxiànqī
30592,刀伤,Knife injury,dāoshāng
30593,河南,Henan,hénán
30594,打火石,Flintstones,dǎhuǒshí
30595,渡边,Ferry,dùbiān
30596,那类,That class,nàlèi
30597,亏待,Defamation,kuīdài
30598,巡洋舰,cruiser,xúnyángjiàn
30599,小巧,Smart,xiǎoqiǎo
30600,安安静静,Quietly,ānānjìngjìng
30601,攝影師,Photographer,shèyǐngshī
30602,牢狱,Jail,láoyù
30603,普罗米修斯,Prometheus,pǔluómǐxiūsī
30604,时限,time limit,shíxiàn
30605,名册,register,míngcè
30606,宾西法尼亚,Bincyfania,bīnxīfǎníyà
30607,无缘,Misuse,wúyuán
30608,被装,Be in place,bèizhuāng
30609,不敢当,Not dare,bùgǎndāng
30610,台车,Trolley,táichē
30611,能当,Can,néngdāng
30612,玭,Bamboo,pín
30613,送人,Give away,sòngrén
30614,三胞胎,Triplet,sānbāotāi
30615,扫罗,Sweep,sǎoluó
30616,亲手做,Hand,qīnshǒuzuò
30617,台球,billiards,táiqiú
30618,桐山,Tong Mountain,tóngshān
30619,威信,prestige,wēixìn
30620,剥离,Strip,bōlí
30621,乐土,Music earth,lètǔ
30622,蔔,predict,bo
30623,搬东西,Moving things,bāndōngxī
30624,隐士,hermit,yǐnshì
30625,搭上,Take up,dā shàng
30626,积木,blocks,jīmù
30627,喉,throat,hóu
30628,人上,People,rénshàng
30629,火候,Flood,huǒhòu
30630,我朝,I am,wǒzhāo
30631,放在眼里,Put in the eyes,fàngzàiyǎnlǐ
30632,运动场,playground,yùndòngchǎng
30633,睡会,Sleep,shuìhuì
30634,杠杆,lever,gànggǎn
30635,好战,warlike,hàozhàn
30636,建于,Build,jiànyú
30637,政坛,Political,zhèngtán
30638,之罪,Sin,zhīzuì
30639,挺起,Stand up,tǐngqǐ
30640,请用,Please use,qǐng yòng
30641,触手,tentacle,chùshǒu
30642,网友,Netizen,wǎngyǒu
30643,土御门,Soil,tǔyùmén
30644,面带微笑,Smiling,miàndàiwēixiào
30645,類似,similar,lèisì
30646,灵巧,dexterity,língqiǎo
30647,許,May,xǔ
30648,消化不良,indigestion,xiāohuàbùliáng
30649,卡蜜儿,Honey,kǎmìér
30650,開啟,Open,kāiqǐ
30651,导火线,fuse,dǎohuǒxiàn
30652,萨里,Suri,sàlǐ
30653,打头,Head,dǎtóu
30654,束手就擒,Be bundled,shùshǒujiùqín
30655,凝望,Condense,níngwàng
30656,成亲,marriage,chéngqīn
30657,廉政公署,ICAC,liánzhènggōngshǔ
30658,桥段,Bridge section,qiáoduàn
30659,坏透,Wickedly,huàitòu
30660,得胜,Victorious,déshèng
30661,球拍,racket,qiúpāi
30662,罚金,fine,fájīn
30663,总动员,general mobilization,zǒngdòngyuán
30664,手牵手,hand in hand,shǒuqiānshǒu
30665,双子星,Gemini,shuāngzǐxīng
30666,没犯,Not committed,mòfàn
30667,千斤顶,jack,qiānjīndǐng
30668,儿媳妇,Daughter-in-law,érxífu
30669,右卫,Right,yòuwèi
30670,帮倒忙,Hurry,bāngdàománg
30671,本該,should be,běngāi
30672,汇款,money transfer,huìkuǎn
30673,正道,right way,zhèngdào
30674,放行,Release,fàngxíng
30675,水牛城,Buffalo,shuǐniúchéng
30676,璊,Bamboo,mén
30677,医术,Medical skill,yīshù
30678,紧急状态,Emergency state,jǐnjízhuàngtài
30679,振,Vibrate,zhèn
30680,佛罗多,Frodo,fóluóduō
30681,察看,Look at,chákàn
30682,防爆,Explosion,fángbào
30683,過敏,allergy,guòmǐn
30684,尼日利亚,Nigeria,nírìlìyà
30685,舒伯特,Schubert,shūbótè
30686,苦工,Hard work,kǔgōng
30687,接待处,Reception,jiēdàichù
30688,每逢,Every time,měiféng
30689,读出,read out,dúchū
30690,難得,rare,nándé
30691,一矢,One,yīshǐ
30692,子儿,son,zǐr
30693,受过伤,Be injured,shòuguòshāng
30694,坏脾气,Ill temper,huàipíqì
30695,積極,positive,jījí
30696,有间,There is a room,yǒu jiān
30697,曼森,Manson,mànsēn
30698,雪利酒,sherry,xuělìjiǔ
30699,孤军奋战,Alone,gūjūnfènzhàn
30700,舒展,Stretch,shūzhǎn
30701,臆想,Think,yìxiǎng
30702,客串,Passenger string,kèchuàn
30703,过大,is too big,guòdà
30704,利斯,Lis,lìsī
30705,母熊,Parent bear,mǔxióng
30706,美得,Beautiful,měi de
30707,马提,Horse,mǎtí
30708,人参,Ginseng,rénshēn
30709,圣乔治,St. George,shèngqiáozhì
30710,雛田,Young,chútián
30711,无痛,Painless,wútòng
30712,音讯,Audio,yīnxùn
30713,侵略性,Aggressive,qīnlèxìng
30714,前者,former,qiánzhě
30715,强多,Strong,jiàngduō
30716,威武,mighty,wēiwǔ
30717,受虐,Abuse,shòunüè
30718,没气,Unhappy,méi qì
30719,小班,Small class,xiǎobān
30720,回馈,Give back,huíkuì
30721,更年期,menopause,gēngniánqī
30722,不费吹灰之力,No effort,bùfèichuīhuīzhīlì
30723,没过,Not,méi guò
30724,封死,Seal,fēngsǐ
30725,飞刀,Flying knife,fēidāo
30726,伊万诺维奇,Ivanovic,yīwànnuòwéiqí
30727,辞职信,Resign,cízhíxìn
30728,珍玛,Jamma,zhēnmǎ
30729,化装,makeup,huàzhuāng
30730,锅里,In the pot,guōlǐ
30731,眳,Bamboo,míng
30732,人员伤亡,Casualties,rényuánshāngwáng
30733,几口,A few mouthfuls,jǐkǒu
30734,撞球,Hooks,zhuàngqiú
30735,皮衣,Leather clothing,píyī
30736,奋起,Rise,fènqǐ
30737,警视厅,Police,jǐngshìtīng
30738,默认,default,mòrèn
30739,炸鱼,Fry,zháyú
30740,舍伍德,Woodwood,shěwǔdé
30741,雜的,Miscellaneous,záde
30742,小队长,Captain,xiǎoduìzhǎng
30743,保龄球馆,Bowling alley,bǎolíngqiúguǎn
30744,播音,broadcast,bōyīn
30745,白俄罗斯,Belarus,báiéluósī
30746,阿尔敏,Almie,ēěrmǐn
30747,空空如也,Empty,kōngkōngrúyě
30748,试用期,Probation,shìyòngqī
30749,大权,power,dàquán
30750,邻,adjacent,lín
30751,高得,High-quality,gāode
30752,出道,Discharge,chū dào
30753,国家机密,National secret,guójiājīmì
30754,连天,Continuously,liántiān
30755,轰轰烈烈,vigorous,hōnghōnglièliè
30756,工人阶级,Working class,gōngrénjiējí
30757,眼花,Opinion,yǎnhuā
30758,脚踏实地,down to earth,jiǎotàshídì
30759,吸引住,Attract,xīyǐnzhù
30760,律师资格,Lawyer qualification,l4shīzīgé
30761,專注,Focus,zhuānzhù
30762,第一节,First quarter,dìyījié
30763,師父,Master,shīfu
30764,正人君子,gentleman,zhèngrénjūnzi
30765,很瘦,Very thin,hěnshòu
30766,脱险,Insane,tuōxiǎn
30767,售出,Sell,shòuchū
30768,煤油,kerosene,méiyóu
30769,分红,Dividend,fēnhóng
30770,美艳,Glamorous,měiyàn
30771,平方英里,Square,píngfāngyīnglǐ
30772,茫茫,vast,mángmáng
30773,比率,ratio,bǐlǜ
30774,之音,Sound,zhīyīn
30775,空心,Hollow,kōngxīn
30776,会教,Meet,huì jiào
30777,马霍尼,Mahoney,mǎhuòní
30778,太强大,Too strong,tàijiàngdà
30779,互,mutual,hù
30780,行政官,Executive official,xíngzhèngguān
30781,彷佛,as if,fǎngfó
30782,鬣蜥,Iguana,lièxī
30783,悬念,suspense,xuánniàn
30784,瑞塔,Ruita,ruìtǎ
30785,头脑清醒,keep a clear mind,tóunǎoqīngxing
30786,大家族,big family,dàjiāzú
30787,交上,Hand over,jiāoshàng
30788,皇族,royal,huángzú
30789,觉察到,Accuse,juéchádào
30790,吉冈,Ji Cai,jígāng
30791,演戲,acting,yǎnxì
30792,塔波,Tallbo,tǎbō
30793,玖,玖,jiǔ
30794,渭蔚,Wei Wei,wèiwèi
30795,賭博,gamble,dǔbó
30796,绕圈,Winding,ràoquān
30797,最佳时机,The best chance,zuìjiāshíjī
30798,收线,Collect line,shōuxiàn
30799,菲利斯,Phillis,fēilìsī
30800,一时间,One time,yīshíjiān
30801,宫城,Miya,gōngchéng
30802,基拉,Kira,jīlā
30803,帕奇,Pagi,pàqí
30804,光学,Optical,guāngxué
30805,衣领,collar,yīlǐng
30806,变胖,Get fat,biànpàng
30807,不过如此,This,buguòrúcǐ
30808,拱手,Gong,gǒngshǒu
30809,早有,Early,zǎoyǒu
30810,走火入魔,Walk around,zǒuhuǒrùmó
30811,秘密组织,Secret organization,mìmìzǔzhī
30812,未蔚谓,Not known,wèiwèiwèi
30813,相拥,Embrace,xiāngyōng
30814,那現,Now,nàxiàn
30815,波蘭,Poland,bōlán
30816,傷痕,Scar,shānghén
30817,死定,Dead,sǐdìng
30818,咀,Pierce,jǔ
30819,戴茜,Dai Wei,dàiqiàn
30820,堪萨斯城,Kansas City,kānsàsīchéng
30821,柔,soft,róu
30822,别生,Don't have children,biéshēng
30823,压榨,press,yāzhà
30824,淋病,gonorrhea,lìnbìng
30825,太遲,Too late,tàichí
30826,护着,Protect,hùzhe
30827,終,end,zhōng
30828,爱恋,Loving,àiliàn
30829,一探,A probe,yītàn
30830,印在,printed on,yìnzài
30831,買點,Buy some,mǎidiǎn
30832,医保,Medical insurance,yībǎo
30833,分析员,Analyst,fēnxīyuán
30834,游玩,play,yóuwán
30835,召喚,call,zhàohuàn
30836,速,speed,sù
30837,音效,Sound effect,yīnxiào
30838,寓言,fable,yùyán
30839,微薄,meager,wēibó
30840,孖,Bamboo,zī
30841,蹬,Step,dēng
30842,引發,Trigger,yǐnfā
30843,阿拉巴马州,Alabama,ālābāmǎzhōu
30844,他將,He Will,tuòjiàng
30845,酗,drunk,xù
30846,钢筋,Steel bar,gāngjīn
30847,临时工,Temporary worker,línshígōng
30848,暴怒,fury,bàonù
30849,打動,move,dǎdòng
30850,丹妮丝,Danny silk,dānnīsī
30851,小节,Section,xiǎojié
30852,天网,Net,tiānwǎng
30853,綾,Thin silk,líng
30854,事关重大,Matters,shìguānchóngdà
30855,猪猪,Pig,zhūzhū
30856,飞来飞去,Fly to fly,fēiláifēiqù
30857,饭桌,Dinner table,fànzhuō
30858,沼,Matrix,zhǎo
30859,溜溜,Slip,liūliū
30860,迷魂,Fans,míhún
30861,直子,Distraction,zhízǐ
30862,剩菜,Resolve,shèngcài
30863,将领,general,jiànglǐng
30864,流畅,Smooth,liúchàng
30865,维和,Peacekeeping,wéihé
30866,沉溺于,Indulgent,chénnìyú
30867,鳍,fin,qí
